id,user_id,branch_code,account_number,balance,opened_at
1,1,9094,3375019,793815,2025-11-07T14:42:40.362153+00:00
2,2,8530,4100362,901947,2024-08-21T16:12:07.362153+00:00
3,3,9388,8620397,875233,2023-06-26T11:29:48.362653+00:00
4,4,7907,9117392,514738,2024-02-08T10:35:34.363153+00:00
5,5,6655,6231390,1669518,2026-01-22T18:11:33.363153+00:00
6,6,4343,5252430,248381,2024-10-20T15:30:54.363153+00:00
7,7,2855,3229827,940126,2024-11-24T15:43:47.363153+00:00
8,8,1886,7741238,394696,2025-06-07T05:39:14.363653+00:00
9,9,8350,4491477,434248,2023-08-02T10:16:51.363653+00:00
10,10,2390,7025651,499194,2023-04-30T03:33:56.363653+00:00
11,11,9177,3666649,1101019,2024-11-03T18:38:02.363653+00:00
12,12,5437,9009962,863523,2024-08-19T23:00:43.363653+00:00
13,13,4368,6398218,263790,2025-03-28T22:48:05.364153+00:00
14,14,8666,9024605,1194036,2023-03-07T17:53:58.364153+00:00
15,15,7832,9216997,618825,2024-10-25T23:58:36.364153+00:00
16,16,3811,7080883,1667980,2024-08-13T02:59:42.364153+00:00
17,17,5804,8908685,1884899,2025-08-10T10:15:10.364153+00:00
18,18,8152,1008732,1276993,2023-04-10T14:01:56.364653+00:00
19,19,2711,9863695,229654,2023-12-23T12:06:26.364653+00:00
20,20,5088,9942318,375607,2025-10-17T14:23:56.364653+00:00
21,21,6089,7846857,208023,2023-02-11T19:36:22.364653+00:00
22,22,8646,8618422,741131,2024-03-13T22:04:05.364653+00:00
23,23,8320,1868657,995568,2025-10-27T09:14:19.365153+00:00
24,24,1710,3785679,191321,2025-05-10T04:23:37.365153+00:00
25,25,8758,2977897,832012,2023-07-31T23:05:17.365153+00:00
26,26,3612,5652675,8811,2024-07-02T21:47:50.365153+00:00
27,27,7214,6189587,987757,2023-05-16T11:21:42.365153+00:00
28,28,1079,3175220,1698766,2025-11-16T01:33:30.365153+00:00
29,29,7298,7048078,978076,2023-03-21T06:49:15.365661+00:00
30,30,6266,8934490,614066,2024-09-02T11:50:21.365661+00:00
31,31,8841,6608738,1092048,2023-07-14T21:55:59.365661+00:00
32,32,4501,1497653,1290829,2023-03-26T10:12:34.365661+00:00
33,33,7793,2908494,945131,2024-09-08T11:35:57.365661+00:00
34,34,9298,4907407,887148,2026-01-02T21:54:52.365661+00:00
35,35,8650,8626422,895854,2025-04-21T01:57:40.365661+00:00
36,36,2475,4735190,199506,2023-07-11T02:12:43.365661+00:00
37,37,3204,5832144,1014215,2024-09-07T00:46:51.365661+00:00
38,38,4162,7938513,554337,2024-01-27T20:12:01.365661+00:00
39,39,3495,1317727,347265,2024-01-15T18:59:00.365661+00:00
40,40,7457,5246973,253290,2025-03-16T02:14:58.366672+00:00
41,41,6517,9477194,472753,2025-03-17T11:23:44.366672+00:00
42,42,4870,7030035,219131,2025-11-25T10:02:59.366672+00:00
43,43,1306,5936968,1047978,2025-11-01T00:44:27.366672+00:00
44,44,4055,1210128,1563289,2025-01-04T08:31:59.366672+00:00
45,45,6380,6973656,1247333,2026-02-07T17:22:50.367178+00:00
46,46,2376,8837759,355996,2025-12-14T17:15:49.367178+00:00
47,47,9382,3138214,325805,2025-08-16T18:59:25.367178+00:00
48,48,4678,6351349,1348220,2024-07-12T20:42:19.367178+00:00
49,49,3614,4917478,7325,2024-04-05T14:39:28.367178+00:00
50,50,3857,8853190,859716,2025-03-11T04:26:47.367678+00:00
51,51,9854,7584749,232347,2025-08-09T10:13:09.367678+00:00
52,52,5683,1954840,283362,2025-09-13T16:31:06.367678+00:00
53,53,9206,5360234,883907,2025-07-04T00:01:40.367678+00:00
54,54,2554,5667775,19822,2026-01-26T00:07:51.367678+00:00
55,55,6323,7496074,1340798,2023-08-27T19:44:39.367678+00:00
56,56,6008,6339135,452234,2025-10-01T14:17:39.368178+00:00
57,57,8467,8954279,1835803,2023-09-02T04:30:45.368178+00:00
58,58,7507,5775097,262957,2023-09-11T03:21:53.368178+00:00
59,59,1701,9409020,1341097,2023-03-22T09:32:42.368178+00:00
60,60,9562,9273379,441545,2024-07-12T10:28:51.368178+00:00
61,61,8003,7120697,30927,2026-01-19T13:53:19.368678+00:00
62,62,1207,5258588,425345,2025-08-10T19:05:22.368678+00:00
63,63,4471,5428225,1142167,2024-07-10T12:21:10.368678+00:00
64,64,2060,8869985,1349661,2025-09-01T02:15:27.368678+00:00
65,65,8997,5303692,935155,2025-12-27T12:09:39.368678+00:00
66,66,1634,7405064,588235,2025-09-23T04:19:09.369177+00:00
67,67,2173,3039198,393999,2023-02-17T03:23:21.369177+00:00
68,68,4420,9349142,657130,2023-03-13T21:00:53.369177+00:00
69,69,5072,4013904,25799,2025-08-01T05:58:06.369177+00:00
70,70,1717,6385335,449220,2025-11-02T17:11:04.369177+00:00
71,71,7292,7422546,1246696,2024-12-22T10:56:20.369177+00:00
72,72,5095,7892007,369631,2023-11-13T20:51:11.369677+00:00
73,73,8305,4682895,1011259,2025-03-04T04:35:47.369677+00:00
74,74,3743,8705518,153848,2025-03-08T17:35:40.369677+00:00
75,75,1097,6961902,653239,2024-07-02T07:19:01.369677+00:00
76,76,6979,1661291,1115695,2024-06-18T06:57:18.369677+00:00
77,77,3464,5487060,862849,2025-02-22T13:01:42.369677+00:00
78,78,4757,5480287,991595,2025-05-12T09:08:09.369677+00:00
79,79,8613,6482039,13927,2023-04-29T02:54:16.369677+00:00
80,80,3618,5183431,1242456,2025-01-02T20:11:50.369677+00:00
81,81,6626,3120954,986779,2025-07-01T15:12:31.369677+00:00
82,82,7786,8381084,737754,2025-07-14T04:16:27.370687+00:00
83,83,2119,8003518,951318,2025-01-23T21:39:49.370687+00:00
84,84,4986,6398436,1470106,2024-12-12T11:44:52.370687+00:00
85,85,4247,1483371,19616,2025-07-05T02:16:00.370687+00:00
86,86,8198,4024903,202769,2025-11-23T20:57:42.370687+00:00
87,87,7105,5166761,1483675,2024-09-30T02:12:48.370687+00:00
88,88,6691,3079243,76312,2024-09-03T11:20:15.371195+00:00
89,89,5413,5053996,460052,2023-09-07T05:13:36.371195+00:00
90,90,4436,4916135,1322890,2025-02-14T17:46:29.371195+00:00
91,91,9816,3190778,1333795,2023-03-13T12:13:00.371195+00:00
92,92,7046,1523649,461114,2024-07-22T10:49:28.371195+00:00
93,93,5889,1129373,78591,2023-07-07T06:50:40.371695+00:00
94,94,1116,1247752,1341000,2024-05-05T22:37:39.371695+00:00
95,95,9685,2831171,1359,2024-08-29T22:29:56.371695+00:00
96,96,6449,7155018,416190,2025-08-30T22:40:50.371695+00:00
97,97,7738,4101245,1210121,2023-05-31T05:15:22.371695+00:00
98,98,6148,9507797,466565,2026-02-06T04:53:54.372195+00:00
99,99,1599,5699063,29805,2025-08-22T18:00:30.372195+00:00
100,100,4831,3549018,1405475,2023-12-02T09:13:38.372195+00:00
101,101,8373,6526641,312813,2024-02-11T23:32:01.372195+00:00
102,102,8129,4003653,814136,2025-06-15T09:51:26.372195+00:00
103,103,5780,7836791,507234,2023-10-11T01:46:14.372195+00:00
104,104,9507,1109670,380566,2023-12-02T17:57:30.372694+00:00
105,105,3128,6219801,475614,2023-11-23T17:27:32.372694+00:00
106,106,1031,5926929,1310143,2023-12-25T15:08:16.372694+00:00
107,107,5552,1977459,476533,2026-01-16T16:47:48.372694+00:00
108,108,1097,8541822,1219870,2023-02-14T17:05:08.372694+00:00
109,109,3575,4816068,212875,2023-08-10T11:34:34.373194+00:00
110,110,2903,5916486,1280416,2024-09-11T13:39:36.373194+00:00
111,111,6025,1455073,633172,2024-05-19T11:12:01.373194+00:00
112,112,7344,2679116,179511,2023-10-13T13:50:08.373194+00:00
113,113,2362,8061069,134655,2025-08-06T20:35:08.373194+00:00
114,114,9218,4619016,1890913,2024-03-30T05:17:13.373694+00:00
115,115,2684,8409950,1250692,2024-12-24T20:58:39.373694+00:00
116,116,7527,8706504,658818,2024-09-17T01:47:43.373694+00:00
117,117,4154,2633798,248279,2025-03-10T11:15:48.373694+00:00
118,118,3169,9272048,122364,2023-07-27T18:00:08.373694+00:00
119,119,9331,4850509,1652005,2024-01-13T07:57:33.373694+00:00
120,120,1586,5475342,732020,2024-12-01T12:18:21.374202+00:00
121,121,7111,1803962,933835,2023-10-11T13:51:18.374202+00:00
122,122,6605,8735717,1183040,2025-09-10T03:28:58.374202+00:00
123,123,1005,3978009,443414,2025-07-26T17:42:42.374202+00:00
124,124,7472,3115381,307014,2024-01-28T18:43:21.374202+00:00
125,125,8741,6256061,530077,2025-11-11T12:14:11.374695+00:00
126,126,1387,4363958,291424,2025-11-07T06:13:33.374695+00:00
127,127,2758,4401293,1009692,2025-04-22T03:39:50.374695+00:00
128,128,9764,6348646,980691,2024-05-24T07:08:03.374695+00:00
129,129,8794,2617904,225334,2023-06-08T15:41:06.374695+00:00
130,130,3140,9871115,285082,2025-10-05T09:35:35.374695+00:00
131,131,5906,3830567,785203,2024-03-10T07:06:47.375195+00:00
132,132,1171,6579513,587418,2025-02-01T09:33:40.375195+00:00
133,133,4838,6623007,208260,2024-08-02T22:59:25.375195+00:00
134,134,5966,8387791,341368,2023-10-01T18:19:59.375195+00:00
135,135,5986,9931921,1364259,2023-10-08T17:07:41.375195+00:00
136,136,2043,7843853,211466,2025-11-24T06:57:39.375694+00:00
137,137,8767,8102032,273095,2024-09-21T10:32:59.375694+00:00
138,138,5513,4989035,842741,2025-08-24T06:48:28.375694+00:00
139,139,4143,6199629,582237,2024-08-04T09:33:05.375694+00:00
140,140,8329,8461840,107936,2024-11-01T10:36:11.375694+00:00
141,141,1061,3876489,917196,2024-12-21T17:40:41.376194+00:00
142,142,6684,9291463,1061878,2025-01-04T22:03:07.376194+00:00
143,143,2364,7744799,655852,2024-08-09T11:25:20.376194+00:00
144,144,4315,3518652,1051468,2024-05-23T08:37:40.376194+00:00
145,145,6836,6800438,546222,2023-02-19T12:24:50.376194+00:00
146,146,8389,2030919,908440,2025-12-17T08:24:20.376194+00:00
147,147,8013,8183529,8144,2025-05-28T01:25:40.376194+00:00
148,148,8353,9238711,399409,2023-09-12T07:16:20.376194+00:00
149,149,7240,3734466,270337,2024-11-25T21:34:19.376194+00:00
150,150,2913,5449512,406352,2023-07-26T17:30:03.376194+00:00
151,151,7234,3243441,1501826,2025-02-24T20:44:53.376194+00:00
152,152,9457,5024357,51582,2024-10-19T03:04:09.377204+00:00
153,153,1970,5613582,768822,2025-01-17T19:22:48.377204+00:00
154,154,6285,6754665,1632555,2023-04-10T02:54:37.377204+00:00
155,155,9965,1896459,1335309,2025-02-26T04:11:48.377204+00:00
156,156,1722,7736482,185637,2023-10-14T21:02:08.377204+00:00
157,157,8170,4622438,1788550,2023-12-20T13:20:02.377204+00:00
158,158,7301,5239680,525119,2024-01-01T06:30:26.377711+00:00
159,159,7584,3695384,494109,2025-07-12T03:11:47.377711+00:00
160,160,8076,9021544,1333912,2025-07-28T08:19:32.377711+00:00
161,161,8516,2775471,117680,2025-12-03T22:42:05.377711+00:00
162,162,7926,8030838,1704,2025-08-07T18:23:32.377711+00:00
163,163,7850,4888636,1072568,2024-10-14T14:14:05.378210+00:00
164,164,4851,5657348,1111664,2023-08-16T14:01:06.378210+00:00
165,165,2920,8947755,913891,2023-07-30T03:16:38.378210+00:00
166,166,6049,4069520,244374,2023-04-25T19:37:55.378210+00:00
167,167,3631,5048112,561409,2025-04-13T23:31:50.378210+00:00
168,168,6006,5116426,382038,2023-07-11T14:09:40.378711+00:00
169,169,5345,5703749,598370,2024-06-01T04:41:33.378711+00:00
170,170,6625,1266847,1201198,2023-04-23T11:46:57.378711+00:00
171,171,2629,6165388,989588,2024-07-03T18:41:50.378711+00:00
172,172,9713,4262310,157467,2024-03-17T00:04:05.378711+00:00
173,173,6303,5047424,818716,2024-08-29T16:36:54.378711+00:00
174,174,9185,6658002,688478,2023-10-02T11:33:22.379210+00:00
175,175,2891,5720959,863704,2024-11-15T02:07:25.379210+00:00
176,176,2094,9647364,586005,2025-09-11T10:04:16.379210+00:00
177,177,3954,7094973,211185,2023-12-26T20:45:02.379210+00:00
178,178,9458,7452809,3177,2026-01-23T12:34:58.379210+00:00
179,179,2702,1279375,129707,2023-08-29T07:38:12.379718+00:00
180,180,9834,2459227,1177051,2024-08-30T08:56:16.379718+00:00
181,181,1496,5173397,230312,2026-01-05T16:25:47.379718+00:00
182,182,5830,7915747,594545,2023-08-06T01:49:24.379718+00:00
183,183,3068,4359987,91443,2024-04-27T00:54:31.379718+00:00
184,184,6187,8789290,1177872,2023-12-22T14:38:48.379718+00:00
185,185,1173,6856499,1601900,2023-08-13T04:16:52.379718+00:00
186,186,6659,5667491,644352,2024-07-23T01:16:31.379718+00:00
187,187,7109,9501598,619061,2024-04-01T20:32:27.379718+00:00
188,188,5759,4494254,175294,2025-05-27T07:08:03.379718+00:00
189,189,7447,7214771,1438433,2024-06-18T16:22:04.379718+00:00
190,190,3873,6609683,1031072,2025-09-20T23:02:10.380729+00:00
191,191,4531,3808130,1115888,2023-04-29T20:34:34.380729+00:00
192,192,4492,1114436,752700,2023-12-25T09:20:09.380729+00:00
193,193,7648,2283205,1797513,2023-05-28T17:02:24.381234+00:00
194,194,2157,1023516,106731,2023-11-13T08:10:53.381234+00:00
195,195,9567,9828949,141252,2025-06-08T07:57:09.381234+00:00
196,196,2277,5413639,732698,2024-07-28T23:21:23.381234+00:00
197,197,5812,4796304,418099,2025-03-31T02:38:00.381234+00:00
198,198,9316,7145418,342362,2024-12-06T00:32:00.381234+00:00
199,199,6398,6666038,667564,2023-12-14T08:31:44.381734+00:00
200,200,3674,1828123,652518,2025-08-16T13:05:28.381734+00:00
201,201,2319,4869032,190715,2025-10-09T09:53:37.381734+00:00
202,202,5203,9363582,1781572,2024-09-12T04:56:54.381734+00:00
203,203,7957,9188635,2096021,2024-12-12T00:48:48.381734+00:00
204,204,6964,3155047,591001,2025-10-21T07:53:47.382234+00:00
205,205,4729,8354375,699075,2024-03-21T01:23:03.382234+00:00
206,206,8180,4584826,377850,2025-09-06T14:31:03.382234+00:00
207,207,4653,3506997,171269,2024-10-03T03:28:58.382234+00:00
208,208,8664,7681102,385247,2024-02-14T16:26:35.382234+00:00
209,209,9593,4304402,854977,2025-08-10T15:58:02.382734+00:00
210,210,5954,6588291,1457124,2024-09-10T13:35:33.382734+00:00
211,211,2953,6186056,532176,2023-07-02T17:12:29.382734+00:00
212,212,4389,5285908,2470402,2025-05-28T19:41:01.382734+00:00
213,213,3520,1368006,718150,2023-10-15T16:20:36.382734+00:00
214,214,2325,4094986,781868,2023-08-09T02:01:58.383237+00:00
215,215,3178,8743773,1734411,2024-10-02T01:24:44.383237+00:00
216,216,7743,1042647,1213176,2023-04-01T03:09:20.383237+00:00
217,217,8677,1103325,940605,2023-11-11T02:41:15.383237+00:00
218,218,3830,5267737,1649233,2024-02-16T16:43:14.383237+00:00
219,219,8942,3544994,1488180,2023-10-09T04:59:38.383734+00:00
220,220,5164,9353381,1136287,2024-12-31T07:24:56.383734+00:00
221,221,4020,9042947,1043142,2023-08-09T15:19:34.383734+00:00
222,222,8312,8885538,1394481,2026-01-29T15:10:51.383734+00:00
223,223,4419,4982239,3223,2023-07-26T15:42:01.383734+00:00
224,224,6513,3571735,1049512,2025-12-29T01:56:16.384234+00:00
225,225,9170,6491015,1419510,2024-11-02T13:32:02.384234+00:00
226,226,3224,3514962,286876,2023-05-17T11:13:59.384234+00:00
227,227,4452,8406950,94928,2024-12-31T03:50:58.384234+00:00
228,228,1576,2715306,743967,2023-10-07T10:53:05.384234+00:00
229,229,9241,9308083,129445,2024-11-24T08:27:01.384734+00:00
230,230,1759,2688388,764123,2024-01-19T01:53:13.384734+00:00
231,231,4091,5092854,921330,2023-12-10T01:21:56.384734+00:00
232,232,1575,6434523,527669,2024-03-21T05:44:33.384734+00:00
233,233,1689,9355994,944765,2024-10-10T21:12:06.384734+00:00
234,234,5984,1798211,673146,2023-08-24T04:20:01.385234+00:00
235,235,6350,7212379,522804,2024-03-16T10:55:44.385234+00:00
236,236,2848,6336554,1276734,2025-03-27T06:40:14.385234+00:00
237,237,2978,2355512,1490417,2023-05-12T07:27:02.385234+00:00
238,238,6546,3761014,934380,2025-02-17T17:03:50.385234+00:00
239,239,3292,6589383,204274,2025-02-20T08:21:09.385234+00:00
240,240,6734,6561315,569397,2025-10-05T03:38:42.385734+00:00
241,241,1945,5841453,1245986,2024-03-10T07:22:26.385734+00:00
242,242,2268,5054319,1809431,2023-03-25T06:38:37.385734+00:00
243,243,2596,5192799,341862,2024-06-24T21:29:13.385734+00:00
244,244,1749,7950329,338777,2024-01-27T09:07:26.385734+00:00
245,245,1989,6801118,1039886,2024-05-19T15:43:47.386234+00:00
246,246,3582,5579167,1094340,2025-08-20T15:11:40.386234+00:00
247,247,6980,9253746,378761,2024-03-18T12:03:09.386234+00:00
248,248,1884,3172044,1670487,2024-11-24T00:27:19.386234+00:00
249,249,7328,1231823,704247,2025-05-08T00:03:24.386234+00:00
250,250,8080,4843120,498638,2023-09-07T15:24:54.386734+00:00
251,251,3626,2031377,849007,2023-02-27T17:50:20.386734+00:00
252,252,7208,9513213,106016,2025-03-28T22:38:48.386734+00:00
253,253,4086,7130269,493651,2026-01-20T23:44:09.386734+00:00
254,254,6706,6696227,1840681,2024-11-30T21:51:58.386734+00:00
255,255,6161,2910092,1129304,2024-08-12T20:06:28.386734+00:00
256,256,8666,1827101,1229583,2025-03-01T04:56:11.386734+00:00
257,257,2853,5737786,182705,2024-07-19T12:25:09.386734+00:00
258,258,1880,1100129,703378,2023-12-14T10:53:25.386734+00:00
259,259,1226,4734058,607747,2025-10-06T22:54:03.386734+00:00
260,260,3681,1215292,110951,2023-02-15T23:33:49.386734+00:00
261,261,5276,2464561,1200909,2025-03-22T19:42:10.387745+00:00
262,262,3997,1206775,951503,2025-09-04T10:49:58.387745+00:00
263,263,2337,3886113,456707,2023-10-31T19:44:56.387745+00:00
264,264,9269,4603867,4989,2024-08-18T20:27:55.387745+00:00
265,265,4265,1793855,564541,2025-03-08T03:55:45.387745+00:00
266,266,8617,4023837,733633,2024-08-02T10:54:39.388252+00:00
267,267,9389,7603251,342340,2024-06-20T02:41:39.388252+00:00
268,268,5714,2455560,745962,2023-04-20T21:06:19.388252+00:00
269,269,8122,2866232,1025138,2024-07-15T15:39:17.388252+00:00
270,270,1050,9825564,1015907,2025-01-29T13:35:23.388252+00:00
271,271,7447,3353912,581395,2023-02-22T18:43:15.388751+00:00
272,272,7921,4988745,1236164,2025-06-16T19:34:25.388751+00:00
273,273,9983,1796397,907928,2025-06-04T11:44:10.388751+00:00
274,274,8598,4339862,1280239,2024-05-20T08:55:42.388751+00:00
275,275,1870,7220867,306037,2025-07-04T12:04:39.388751+00:00
276,276,5526,1580120,1225351,2025-08-29T13:20:35.389251+00:00
277,277,5611,7174269,32335,2025-11-09T22:13:10.389251+00:00
278,278,7859,5075519,246424,2024-09-12T20:16:41.389251+00:00
279,279,9848,3919376,699945,2026-01-13T03:24:29.389251+00:00
280,280,5494,9850889,879616,2023-03-09T16:10:57.389251+00:00
281,281,3449,9285823,1160026,2023-07-17T06:41:31.389251+00:00
282,282,2895,5284324,230580,2025-05-16T03:09:28.389752+00:00
283,283,7466,2471224,205495,2025-01-02T20:34:16.389752+00:00
284,284,6274,8203024,432871,2025-04-16T15:06:37.389752+00:00
285,285,3671,4070659,7204,2024-10-11T12:18:47.389752+00:00
286,286,4444,9037862,1572023,2024-10-02T16:55:14.389752+00:00
287,287,8522,3597628,852054,2025-02-14T18:22:23.389752+00:00
288,288,6992,4279697,1836526,2025-07-22T02:25:02.389752+00:00
289,289,3278,5478303,893918,2023-03-21T17:58:51.389752+00:00
290,290,9384,8138138,2033084,2024-03-29T10:54:07.389752+00:00
291,291,7210,7049974,414518,2025-03-07T09:09:01.389752+00:00
