user_id,postal_code,prefecture,city,address_line1,address_line2,proof_file_path,proof_file_data,status,created_at
5,189-2509,島根県,西多摩郡檜原村,899 伊藤 Street,,,,APPROVED,2024-05-11T03:55:09.332737+00:00
5,949-4097,茨城県,横浜市磯子区,273 石川 Street,,,,APPROVED,2024-06-10T08:49:34.332737+00:00
5,145-9317,長野県,西東京市,712 前田 Street,シャルム,,,REJECTED,2026-02-05T09:57:35.332737+00:00
6,742-9035,千葉県,八千代市,711 吉田 Street,,,,REJECTED,2025-02-05T16:04:19.332737+00:00
6,311-5881,新潟県,渋谷区,474 西村 Street,,,,REJECTED,2025-11-03T07:59:58.332737+00:00
8,777-9540,奈良県,三鷹市,152 田中 Street,コーポ,,,APPROVED,2024-09-07T15:49:30.332737+00:00
9,076-8205,愛知県,中央区,489 山下 Street,パレス,,,REJECTED,2024-05-31T02:10:00.333240+00:00
9,349-2882,福井県,川崎市多摩区,211 斎藤 Street,シティ,,,PENDING,2024-07-12T03:32:12.333240+00:00
9,765-2202,島根県,品川区,486 伊藤 Street,,,,REJECTED,2025-11-27T02:30:37.333240+00:00
13,857-6422,長崎県,豊島区,003 山口 Street,,,,REJECTED,2024-10-10T04:17:26.333240+00:00
13,537-9214,愛知県,北区,553 渡辺 Street,,,,REJECTED,2025-12-19T00:48:56.333240+00:00
15,971-5950,大阪府,横浜市栄区,073 山崎 Street,,,,REJECTED,2024-03-02T22:35:48.333240+00:00
22,194-5707,長野県,香取市,384 佐藤 Street,,,,REJECTED,2026-01-16T14:27:18.333240+00:00
22,914-4272,宮城県,多摩市,238 藤原 Street,コート,,,REJECTED,2026-02-08T10:28:53.333240+00:00
26,579-1603,宮崎県,長生郡一宮町,588 小川 Street,パーク,,,REJECTED,2025-08-04T00:11:29.333240+00:00
27,336-2843,山口県,中野区,364 藤井 Street,シャルム,,,PENDING,2024-09-20T07:23:27.333240+00:00
37,632-2108,秋田県,文京区,619 佐々木 Street,,,,PENDING,2025-12-06T06:04:22.333240+00:00
39,806-7567,広島県,立川市,441 石川 Street,コート,,,APPROVED,2024-10-08T07:14:54.333240+00:00
39,338-0951,青森県,香取市,862 中村 Street,,,,APPROVED,2026-01-18T15:05:07.333240+00:00
63,631-3517,埼玉県,南房総市,784 橋本 Street,アーバン,,,APPROVED,2025-08-19T01:34:52.333240+00:00
63,793-9335,宮城県,鴨川市,709 太田 Street,シティ,,,APPROVED,2025-09-17T12:02:15.333240+00:00
67,950-2918,群馬県,東久留米市,834 鈴木 Street,パーク,,,REJECTED,2025-05-27T00:49:06.333240+00:00
67,754-1246,神奈川県,調布市,463 橋本 Street,クレスト,,,APPROVED,2025-07-19T07:23:25.333240+00:00
67,291-3399,岐阜県,横浜市中区,624 中村 Street,アーバン,,,PENDING,2025-12-12T18:09:26.333240+00:00
71,822-6838,宮城県,安房郡鋸南町,041 佐藤 Street,,,,REJECTED,2024-07-10T07:47:35.333240+00:00
71,638-7065,長野県,印旛郡酒々井町,751 西村 Street,,,,APPROVED,2025-12-12T19:50:55.333240+00:00
71,617-1024,宮崎県,西多摩郡日の出町,550 佐藤 Street,コート,,,REJECTED,2025-12-18T17:46:14.333240+00:00
87,357-4779,和歌山県,狛江市,500 山本 Street,,,,PENDING,2024-04-27T08:33:56.333738+00:00
87,788-3674,青森県,鴨川市,422 斎藤 Street,,,,PENDING,2024-09-03T08:04:19.333738+00:00
87,619-2901,群馬県,鴨川市,256 中村 Street,,,,APPROVED,2024-11-01T06:00:44.333738+00:00
88,655-5623,滋賀県,狛江市,137 池田 Street,,,,APPROVED,2024-09-29T02:39:36.333738+00:00
88,120-2733,愛媛県,調布市,284 中島 Street,ハイツ,,,REJECTED,2025-08-11T22:00:49.333738+00:00
90,101-5608,和歌山県,香取郡多古町,049 山崎 Street,ハイツ,,,REJECTED,2024-10-26T13:20:28.333738+00:00
92,959-4936,栃木県,香取郡東庄町,806 太田 Street,コート,,,PENDING,2024-09-03T12:13:27.333738+00:00
92,509-1519,大分県,横浜市神奈川区,218 小川 Street,コート,,,APPROVED,2025-09-27T02:53:36.333738+00:00
93,374-5645,新潟県,板橋区,088 高橋 Street,パレス,,,REJECTED,2024-04-19T21:41:55.333738+00:00
100,395-1305,京都府,小平市,002 藤原 Street,,,,REJECTED,2024-02-22T11:29:30.333738+00:00
100,380-8138,大分県,横浜市金沢区,561 鈴木 Street,,,,REJECTED,2024-05-21T05:15:58.333738+00:00
100,570-8126,兵庫県,文京区,584 三浦 Street,,,,PENDING,2024-07-08T01:29:13.333738+00:00
120,847-4351,神奈川県,山武郡横芝光町,704 小林 Street,,,,APPROVED,2024-07-08T17:26:56.333738+00:00
120,428-4159,新潟県,四街道市,509 斎藤 Street,,,,PENDING,2024-11-12T00:18:06.333738+00:00
131,891-7087,広島県,横浜市泉区,862 佐々木 Street,コート,,,REJECTED,2024-02-22T03:15:51.333738+00:00
141,078-4632,神奈川県,八丈島八丈町,501 田中 Street,,,,APPROVED,2024-02-28T03:27:33.333738+00:00
141,738-0379,福岡県,横浜市中区,837 山口 Street,シャルム,,,REJECTED,2024-11-13T15:41:09.333738+00:00
141,514-5570,兵庫県,四街道市,352 小林 Street,コート,,,APPROVED,2025-06-12T03:42:48.333738+00:00
142,087-7363,熊本県,大島町,948 田中 Street,クレスト,,,APPROVED,2024-09-12T15:32:41.333738+00:00
142,330-5321,岩手県,台東区,103 木村 Street,,,,REJECTED,2024-11-04T19:36:42.333738+00:00
142,194-8666,愛知県,夷隅郡御宿町,073 中村 Street,クレスト,,,PENDING,2025-09-13T20:26:22.333738+00:00
147,745-3520,兵庫県,川崎市多摩区,585 中島 Street,,,,REJECTED,2024-03-18T12:48:17.333738+00:00
147,439-9393,京都府,世田谷区,020 岡本 Street,,,,APPROVED,2024-03-31T08:26:14.333738+00:00
147,159-3154,富山県,多摩市,722 太田 Street,,,,PENDING,2025-07-21T19:44:53.333738+00:00
151,857-3004,宮城県,川崎市川崎区,008 長谷川 Street,,,,REJECTED,2024-04-05T01:39:45.334239+00:00
156,677-6838,大阪府,富津市,886 西村 Street,アーバン,,,PENDING,2024-09-30T17:05:03.334239+00:00
156,205-7172,東京都,大島町,679 佐藤 Street,パーク,,,APPROVED,2024-12-08T00:24:33.334239+00:00
156,178-6376,佐賀県,西多摩郡檜原村,564 坂本 Street,,,,REJECTED,2025-02-21T00:49:48.334239+00:00
181,318-2143,三重県,川崎市高津区,896 小林 Street,ハイツ,,,PENDING,2025-07-08T10:08:30.334239+00:00
183,606-3339,岐阜県,新宿区,680 阿部 Street,,,,REJECTED,2024-09-19T04:03:30.334239+00:00
183,954-1073,東京都,八王子市,233 高橋 Street,ハイツ,,,REJECTED,2024-10-14T20:19:11.334239+00:00
190,224-8384,新潟県,印旛郡本埜村,117 高橋 Street,,,,PENDING,2025-11-06T19:39:46.334239+00:00
198,904-5633,愛知県,南房総市,897 山本 Street,ハイツ,,,PENDING,2024-03-15T07:53:35.334239+00:00
198,034-3630,栃木県,鎌ケ谷市,434 佐藤 Street,アーバン,,,PENDING,2025-08-22T05:45:34.334239+00:00
198,980-6588,高知県,西東京市,769 田中 Street,,,,REJECTED,2026-02-05T14:33:38.334239+00:00
208,144-2859,佐賀県,日野市,615 加藤 Street,,,,REJECTED,2024-04-09T03:14:20.334239+00:00
219,391-9026,茨城県,長生郡長南町,940 阿部 Street,,,,REJECTED,2025-06-17T08:45:12.334239+00:00
219,781-0245,新潟県,杉並区,336 渡辺 Street,コーポ,,,APPROVED,2026-01-12T20:23:23.334239+00:00
224,737-2180,兵庫県,横浜市鶴見区,354 加藤 Street,パレス,,,APPROVED,2024-12-19T07:51:40.334239+00:00
224,364-8464,東京都,長生郡一宮町,413 山田 Street,,,,PENDING,2025-11-29T00:02:54.334239+00:00
227,412-9422,秋田県,大網白里市,753 山口 Street,,,,APPROVED,2024-05-11T21:27:30.334239+00:00
227,739-0639,愛知県,四街道市,933 遠藤 Street,,,,APPROVED,2025-06-01T00:24:12.334239+00:00
228,164-4053,大阪府,西東京市,317 藤井 Street,コーポ,,,REJECTED,2024-02-23T07:50:27.334239+00:00
228,364-9532,鳥取県,横浜市保土ケ谷区,062 鈴木 Street,クレスト,,,REJECTED,2025-10-18T14:39:49.334239+00:00
228,280-9718,鳥取県,横浜市泉区,219 田中 Street,シャルム,,,PENDING,2025-12-30T04:02:39.334239+00:00
231,416-4694,広島県,長生郡長生村,843 佐藤 Street,,,,PENDING,2024-08-18T08:50:12.334737+00:00
232,594-4704,山梨県,香取市,726 田中 Street,アーバン,,,APPROVED,2024-05-24T02:19:44.334737+00:00
232,599-5937,富山県,印西市,547 森 Street,,,,APPROVED,2024-09-11T06:00:31.334737+00:00
236,721-4182,京都府,北区,566 村上 Street,クレスト,,,APPROVED,2025-03-06T20:47:51.334737+00:00
