"user_id","bank_name","branch_name","account_type","account_number","account_holder_name","nickname","created_at"
"1","+Acts Bank","渋谷","普通","1234567","ヤマダ タロウ","家賃","2026-01-12T05:22:14.401814+00:00"
"1","+Acts Bank","丸の内","貯蓄","2345678","ヤマダ ハナコ","貯金","2026-01-22T05:22:14.401814+00:00"
"2","+Acts Bank","梅田","普通","3456789","スズキ ケン","家族","2026-02-01T05:22:14.401814+00:00"
"1","+Acts Bank","渋谷","貯蓄","2161230","田中 明美","家賃","2025-03-22T13:48:33.401814+00:00"
"1","+Acts Bank","札幌","普通","9715219","鈴木 桃子","家族","2025-08-13T03:12:36.401814+00:00"
"2","+Acts Bank","札幌","貯蓄","1668099","渡辺 陽一","仕送り","2025-08-11T08:35:28.406314+00:00"
"3","+Acts Bank","横浜","普通","6324147","森 翔太","学費","2025-11-23T11:43:05.406814+00:00"
"3","+Acts Bank","名古屋","普通","6394292","石川 洋介","","2025-06-11T18:47:52.406814+00:00"
"5","+Acts Bank","名古屋","貯蓄","8446150","伊藤 太郎","","2025-03-17T10:52:00.408315+00:00"
"5","+Acts Bank","横浜","普通","6006828","山下 晃","","2025-04-18T13:55:06.408315+00:00"
"6","+Acts Bank","丸の内","貯蓄","3867410","阿部 晃","仕送り","2025-07-01T05:04:04.408315+00:00"
"7","+Acts Bank","梅田","普通","8107772","坂本 裕美子","家賃","2025-06-27T02:06:21.408315+00:00"
"7","+Acts Bank","渋谷","貯蓄","9009541","渡辺 翔太","学費","2025-09-16T11:32:16.408315+00:00"
"8","+Acts Bank","丸の内","普通","9427193","福田 京助","家賃","2025-07-18T11:43:09.408315+00:00"
"8","+Acts Bank","丸の内","普通","5879733","中村 裕太","貯金","2025-06-26T04:09:06.408315+00:00"
"11","+Acts Bank","渋谷","貯蓄","3159041","渡辺 晃","仕送り","2025-12-10T08:24:57.408815+00:00"
"11","+Acts Bank","渋谷","貯蓄","9410110","佐藤 加奈","家賃","2025-11-29T05:18:34.408815+00:00"
"12","+Acts Bank","丸の内","貯蓄","4925799","藤井 七夏","仕送り","2025-04-12T05:27:34.408815+00:00"
"12","+Acts Bank","横浜","普通","8771397","斉藤 稔","家賃","2025-03-01T05:41:32.408815+00:00"
"13","+Acts Bank","横浜","普通","2860034","佐藤 翼","貯金","2025-10-11T09:26:32.408815+00:00"
"13","+Acts Bank","梅田","普通","2686610","伊藤 舞","学費","2025-04-03T17:12:49.408815+00:00"
"14","+Acts Bank","名古屋","貯蓄","7669572","石川 陽子","家族","2025-09-09T16:14:22.408815+00:00"
"14","+Acts Bank","横浜","貯蓄","1517701","佐々木 健一","貯金","2025-03-23T08:19:45.408815+00:00"
"15","+Acts Bank","渋谷","普通","7885331","斉藤 知実","貯金","2025-11-08T06:10:22.408815+00:00"
"15","+Acts Bank","梅田","普通","9150524","山下 里佳","家族","2025-07-11T19:12:20.409314+00:00"
"17","+Acts Bank","名古屋","普通","5617299","長谷川 治","貯金","2025-05-28T10:36:26.409314+00:00"
"17","+Acts Bank","札幌","貯蓄","3651433","前田 篤司","家族","2025-12-01T22:10:56.409314+00:00"
"19","+Acts Bank","名古屋","貯蓄","9415892","渡辺 明美","家族","2025-08-31T03:11:57.409314+00:00"
"21","+Acts Bank","札幌","普通","2884419","林 桃子","家賃","2025-10-10T07:11:11.409814+00:00"
"22","+Acts Bank","渋谷","貯蓄","4968847","小川 七夏","家族","2025-03-13T04:08:34.409814+00:00"
"22","+Acts Bank","丸の内","普通","4545665","伊藤 健一","","2025-09-21T00:12:11.409814+00:00"
"25","+Acts Bank","渋谷","貯蓄","7920197","高橋 篤司","家族","2025-09-04T12:05:59.409814+00:00"
"25","+Acts Bank","名古屋","普通","9982200","森 英樹","仕送り","2025-07-03T05:17:39.409814+00:00"
"27","+Acts Bank","渋谷","貯蓄","4766755","前田 香織","仕送り","2025-04-12T06:11:55.409814+00:00"
"30","+Acts Bank","渋谷","貯蓄","6291631","山崎 裕太","","2025-10-26T22:48:36.410314+00:00"
"30","+Acts Bank","梅田","普通","5747773","清水 篤司","貯金","2026-01-20T18:02:29.410314+00:00"
"35","+Acts Bank","横浜","普通","8080999","吉田 翔太","学費","2025-02-17T11:04:53.410314+00:00"
"36","+Acts Bank","横浜","普通","2203744","清水 聡太郎","","2025-06-18T12:04:08.410314+00:00"
"37","+Acts Bank","札幌","普通","7016696","鈴木 篤司","家族","2025-04-20T13:03:35.410314+00:00"
"37","+Acts Bank","渋谷","普通","5461945","中村 英樹","","2025-06-27T19:03:11.410314+00:00"
"38","+Acts Bank","梅田","貯蓄","1940048","中川 亮介","学費","2025-03-12T04:16:53.410314+00:00"
"38","+Acts Bank","札幌","普通","3902534","山下 明美","","2026-01-09T22:22:14.410314+00:00"
"40","+Acts Bank","横浜","普通","6771864","吉田 裕美子","家賃","2025-11-14T09:58:14.410314+00:00"
"40","+Acts Bank","丸の内","貯蓄","3930895","鈴木 裕美子","学費","2026-01-23T13:01:50.411325+00:00"
"42","+Acts Bank","渋谷","普通","1574403","斎藤 裕美子","仕送り","2025-12-14T19:08:59.411325+00:00"
"42","+Acts Bank","渋谷","普通","5904168","山本 翼","家賃","2025-10-28T05:55:16.411325+00:00"
"43","+Acts Bank","渋谷","貯蓄","6608473","田中 さゆり","貯金","2025-09-25T07:36:41.411325+00:00"
"43","+Acts Bank","梅田","貯蓄","8883942","井上 くみ子","貯金","2025-05-12T11:52:09.411325+00:00"
"45","+Acts Bank","名古屋","普通","3655798","山本 学","家賃","2025-08-24T23:47:22.411832+00:00"
"45","+Acts Bank","横浜","貯蓄","1978893","山本 拓真","仕送り","2025-10-12T04:10:38.411832+00:00"
"46","+Acts Bank","梅田","貯蓄","1989050","後藤 学","貯金","2025-03-30T17:21:56.411832+00:00"
"46","+Acts Bank","横浜","普通","8722013","森 裕太","家族","2025-04-21T16:01:01.411832+00:00"
"47","+Acts Bank","丸の内","普通","2720578","長谷川 裕太","貯金","2025-09-13T02:26:31.412334+00:00"
