"session_id","user_id","jwt_token","ip","user_agent","login_at"
"sess-001","1","jwt_16aefed0ec334f47a398bab14725198bb19c7728271b4f91bf08364d32a2b332","203.0.113.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2026-02-09T05:22:14.401814+00:00"
"sess-002","1","jwt_7122ba10363c4dfc9213ee5415188952130318c1ec2c4956902667e9528a0ee7","203.0.113.11","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-02-10T05:22:14.401814+00:00"
"sess-003","2","jwt_e74ec5882ee84ca285237a0f87613f0ccec2dbd4660d4e0187846c233e6c262c","198.51.100.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2026-02-11T02:22:14.401814+00:00"
"sess-2-0-5023","2","jwt_620169d18656451da31184df70027cdb12a62f3b72404ce09da11fbd40eca083","221.218.16.83","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-08-06T15:23:01.406814+00:00"
"sess-2-1-1335","2","jwt_b5b506584a1d47f1941ee2e8ac304045ee06fd60e7664cc093314d817c225ea8","219.105.58.158","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-05-14T19:43:48.406814+00:00"
"sess-4-0-6669","4","jwt_63c2f190f75e485ab49a2d6e3cd7b8e2dc3f5077989d4d1c88d8bd3953cebef5","136.119.236.117","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2026-01-09T06:28:56.407814+00:00"
"sess-4-1-9913","4","jwt_78c5ba0af6694eecb1fc187b06db479dda474bf3b9014f5c8c99e5fad9500331","218.226.221.23","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-11-06T11:31:24.408315+00:00"
"sess-5-0-4435","5","jwt_1c51262090d4472e95bf6be6b8e45571607612e7e9464ec2985dca9f82798a45","164.190.99.176","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-03-07T18:56:14.408315+00:00"
"sess-8-0-1671","8","jwt_4b63fb16da5e47dd833ca3ef96f3af9cd4e813d93d7e435dab32a48e501be68e","197.83.182.1","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-03-27T15:40:47.408315+00:00"
"sess-8-1-9038","8","jwt_7b8cb27a5e1540e28cedcef9a5a8ddb96be10175dc97460eac5676a05271695b","217.255.164.143","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-08-04T06:49:16.408315+00:00"
"sess-10-0-5061","10","jwt_18306c2837d041ad936fc0c4082684213144c7f6b9654a21be9011a7d7de44de","2.70.213.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-02-28T11:49:41.408815+00:00"
"sess-12-0-3326","12","jwt_e51b0c7967cf42faad1c114a4c4f85f3d69eebf549574b318f6e3adf61e2806c","215.210.190.174","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-11-02T00:17:43.408815+00:00"
"sess-12-1-1110","12","jwt_fb609a598bea4e3bbec904495e388b161cba8e9d2285477cadb566f0d7d1b60a","211.51.46.76","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-10-05T10:48:11.408815+00:00"
"sess-13-0-5821","13","jwt_73eed7936deb419b9199c150f305526c96d14d3b1cdc40c48d3e453c28d570da","119.234.122.87","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-10-30T07:37:42.408815+00:00"
"sess-13-1-6509","13","jwt_a5b0b0baba8b47e3bb473ce0d54ee1ca60a1ec786b5f416885c63127a992540e","61.152.42.65","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-02-26T02:21:28.408815+00:00"
"sess-14-0-9545","14","jwt_8b8768b3b0804cb780782cb0788be248e0cfca294d3844008f67b604a107704c","209.82.208.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-05-17T16:28:38.408815+00:00"
"sess-14-1-7289","14","jwt_fee2f4bcd00f4514b5415f06e0c049313b191e22cdd64d828c15860f5c271f53","176.47.70.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-12-13T08:35:16.408815+00:00"
"sess-15-0-9939","15","jwt_9da4332ec1fd421eb6cc114c69c6b287f7204ba05a55408e87111a68a79eae4c","153.182.47.23","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-10-27T00:56:13.409314+00:00"
"sess-16-0-3722","16","jwt_e8df5b51de734cbe8b16b17f89a8c60ed8ccabf401de43b5917ad8b2d7a57b4d","37.177.228.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-11-08T21:41:34.409314+00:00"
"sess-17-0-6510","17","jwt_21700d4bca054aa897e1ccc0d1f4dcb56f9ac21826f84e1dae94fc673c59df7d","156.36.77.24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-06-21T13:23:34.409314+00:00"
"sess-17-1-4611","17","jwt_de6696f803b34eefbf5d804f65abb462d177b26a11ee45a28f43f1ef50c9f808","204.25.50.38","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-10-09T15:24:27.409314+00:00"
"sess-19-0-9946","19","jwt_940bacb781e849df9ca77f679acef8c4e2a554116d504acebf22f4405c3a5677","170.13.83.103","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-12-12T22:27:46.409314+00:00"
"sess-21-0-2352","21","jwt_aea45715b13042e486c53be43385898460211f9ce25d43319a9eef439570b6ea","215.36.248.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-03-03T07:25:10.409814+00:00"
"sess-22-0-8589","22","jwt_82d5e9ab405745e889e29211006cfc7a52182e792ea14671ae70c75a1c7538e9","153.2.117.68","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-02-02T13:42:55.409814+00:00"
"sess-22-1-6979","22","jwt_d4e0d4e4141e43eb95eeec27cce07d5db5cbb84274474bc3b98ccf1da45b00d1","61.48.55.123","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-08T20:11:26.409814+00:00"
"sess-26-0-8314","26","jwt_8c369bb219f74692886f401ce041482957b9504b32dc457da08e7730a983c2fa","196.107.178.249","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-30T12:51:02.409814+00:00"
"sess-29-0-3018","29","jwt_7a36f60565e64ed686b90fb21a7e32fde8090b66ace44d6990646557100ea61a","206.225.204.232","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-05-07T00:14:21.410314+00:00"
"sess-29-1-8460","29","jwt_f76d7d1c25564e4da4bbd51a2c7030ab179f5905e6d84923851b77fed18fe10f","177.59.79.108","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-10-28T16:01:11.410314+00:00"
"sess-30-0-9700","30","jwt_d2aa01fcc8294cd7883120d12b9e1fef6d2efab0bd2f41649cb25e69eb14663e","206.255.119.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-05-21T18:31:08.410314+00:00"
"sess-31-0-6247","31","jwt_ac4e9b6bb2ad45199a1b4d08d8e2286756433f9c226e42daa05ce617da77e966","72.224.37.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-05-07T10:59:16.410314+00:00"
"sess-31-1-9415","31","jwt_f89fb82b8a43433abf18a4475c416f3a6e16b5f8443d4cd1a4a842cc5a748c37","192.56.233.182","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-07-28T01:58:42.410314+00:00"
"sess-32-0-7229","32","jwt_d0bbf8cd49ca4d83b7f0397d39a2c971ce30572e2c0c48939b53b1affaf24a16","211.176.110.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-12-03T04:00:29.410314+00:00"
